2019-03-12 18:32:30,921 - ClusterTrainer - INFO - |  Hyperparameter  |         Value         |
| :--------------- | :-------------------- |
| lr               | 3.344654774494276e-05 |
| code_size        | 68                    |
| lin2_in_channels | 117                   |
| dropout          | 0.3063729927050812    |

2019-03-12 18:52:46,253 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans300-accuracy.pth ...
2019-03-12 18:52:46,253 - ClusterTrainer - INFO - Train Epoch: 1
2019-03-12 18:52:46,339 - ClusterTrainer - INFO -    > [128/517313 (0%), 39.88s] Loss: 0.006089 
2019-03-12 18:52:49,370 - ClusterTrainer - INFO -    > [8192/517313 (2%), 38.46s] Loss: 0.006140 
2019-03-12 18:52:52,397 - ClusterTrainer - INFO -    > [16256/517313 (3%), 38.27s] Loss: 0.005696 
2019-03-12 18:52:55,422 - ClusterTrainer - INFO -    > [24320/517313 (5%), 37.91s] Loss: 0.005730 
2019-03-12 18:52:58,450 - ClusterTrainer - INFO -    > [32384/517313 (6%), 36.64s] Loss: 0.006855 
2019-03-12 18:53:01,470 - ClusterTrainer - INFO -    > [40448/517313 (8%), 36.33s] Loss: 0.006135 
2019-03-12 18:53:04,501 - ClusterTrainer - INFO -    > [48512/517313 (9%), 35.57s] Loss: 0.006147 
2019-03-12 18:53:07,528 - ClusterTrainer - INFO -    > [56576/517313 (11%), 35.35s] Loss: 0.005954 
2019-03-12 18:53:10,555 - ClusterTrainer - INFO -    > [64640/517313 (12%), 34.70s] Loss: 0.006127 
2019-03-12 18:53:13,586 - ClusterTrainer - INFO -    > [72704/517313 (14%), 34.64s] Loss: 0.006198 
2019-03-12 18:53:16,609 - ClusterTrainer - INFO -    > [80768/517313 (16%), 33.45s] Loss: 0.006128 
2019-03-12 18:53:19,642 - ClusterTrainer - INFO -    > [88832/517313 (17%), 32.92s] Loss: 0.006299 
2019-03-12 18:53:22,655 - ClusterTrainer - INFO -    > [96896/517313 (19%), 31.63s] Loss: 0.005745 
2019-03-12 18:53:25,665 - ClusterTrainer - INFO -    > [104960/517313 (20%), 31.09s] Loss: 0.005361 
2019-03-12 18:53:28,682 - ClusterTrainer - INFO -    > [113024/517313 (22%), 30.37s] Loss: 0.005936 
2019-03-12 18:53:31,691 - ClusterTrainer - INFO -    > [121088/517313 (23%), 30.20s] Loss: 0.005231 
2019-03-12 18:53:34,704 - ClusterTrainer - INFO -    > [129152/517313 (25%), 29.52s] Loss: 0.005230 
2019-03-12 18:53:37,716 - ClusterTrainer - INFO -    > [137216/517313 (26%), 28.73s] Loss: 0.005920 
2019-03-12 18:53:40,724 - ClusterTrainer - INFO -    > [145280/517313 (28%), 28.42s] Loss: 0.005780 
