2019-03-13 22:48:11,124 - ClusterTrainer - INFO - |  Hyperparameter  |         Value          |
| :--------------- | :--------------------- |
| lr               | 0.00034356378924277613 |
2019-03-13 22:49:02,421 - ClusterTrainer - INFO -    > [137216/517313 (26%), 31.82s] Loss: 0.004080 
2019-03-13 22:49:05,441 - ClusterTrainer - INFO -    > [145280/517313 (28%), 31.21s] Loss: 0.004171 
2019-03-13 22:49:08,449 - ClusterTrainer - INFO -    > [153344/517313 (30%), 30.51s] Loss: 0.003952 
2019-03-13 22:49:11,455 - ClusterTrainer - INFO -    > [161408/517313 (31%), 30.05s] Loss: 0.003851 
2019-03-13 22:49:14,459 - ClusterTrainer - INFO -    > [169472/517313 (33%), 28.85s] Loss: 0.003714 
2019-03-13 22:49:17,480 - ClusterTrainer - INFO -    > [177536/517313 (34%), 37.91s] Loss: 0.003846 
2019-03-13 22:49:20,509 - ClusterTrainer - INFO -    > [185600/517313 (36%), 28.82s] Loss: 0.003700 
2019-03-13 22:49:23,504 - ClusterTrainer - INFO -    > [193664/517313 (37%), 27.25s] Loss: 0.003716 
2019-03-13 22:49:26,499 - ClusterTrainer - INFO -    > [201728/517313 (39%), 26.14s] Loss: 0.003443 
2019-03-13 22:49:29,493 - ClusterTrainer - INFO -    > [209792/517313 (41%), 25.75s] Loss: 0.003271 
2019-03-13 22:49:32,499 - ClusterTrainer - INFO -    > [217856/517313 (42%), 26.05s] Loss: 0.003285 
2019-03-13 22:49:35,516 - ClusterTrainer - INFO -    > [225920/517313 (44%), 35.19s] Loss: 0.003421 
2019-03-13 22:49:38,518 - ClusterTrainer - INFO -    > [233984/517313 (45%), 24.58s] Loss: 0.003438 
2019-03-13 22:49:41,515 - ClusterTrainer - INFO -    > [242048/517313 (47%), 23.02s] Loss: 0.003395 
2019-03-13 22:49:44,520 - ClusterTrainer - INFO -    > [250112/517313 (48%), 22.61s] Loss: 0.003259 
2019-03-13 22:49:47,524 - ClusterTrainer - INFO -    > [258176/517313 (50%), 21.44s] Loss: 0.003182 
2019-03-13 22:49:50,510 - ClusterTrainer - INFO -    > [266240/517313 (51%), 20.90s] Loss: 0.003276 
2019-03-13 22:49:53,518 - ClusterTrainer - INFO -    > [274304/517313 (53%), 21.89s] Loss: 0.003037 
2019-03-13 22:49:56,522 - ClusterTrainer - INFO -    > [282368/517313 (55%), 19.81s] Loss: 0.003093 
2019-03-13 22:49:59,548 - ClusterTrainer - INFO -    > [290432/517313 (56%), 19.27s] Loss: 0.003103 
2019-03-13 22:50:02,560 - ClusterTrainer - INFO -    > [298496/517313 (58%), 18.20s] Loss: 0.002917 
2019-03-13 22:50:05,557 - ClusterTrainer - INFO -    > [306560/517313 (59%), 17.55s] Loss: 0.002827 
2019-03-13 22:50:08,576 - ClusterTrainer - INFO -    > [314624/517313 (61%), 16.88s] Loss: 0.003011 
2019-03-13 22:50:11,585 - ClusterTrainer - INFO -    > [322688/517313 (62%), 16.65s] Loss: 0.003043 
2019-03-13 22:50:14,578 - ClusterTrainer - INFO -    > [330752/517313 (64%), 15.48s] Loss: 0.003054 
2019-03-13 22:50:17,571 - ClusterTrainer - INFO -    > [338816/517313 (65%), 14.91s] Loss: 0.002574 
2019-03-13 22:50:20,585 - ClusterTrainer - INFO -    > [346880/517313 (67%), 14.33s] Loss: 0.002799 
2019-03-13 22:50:23,588 - ClusterTrainer - INFO -    > [354944/517313 (69%), 13.63s] Loss: 0.002646 
2019-03-13 22:50:26,594 - ClusterTrainer - INFO -    > [363008/517313 (70%), 12.93s] Loss: 0.002748 
2019-03-13 22:50:29,608 - ClusterTrainer - INFO -    > [371072/517313 (72%), 12.71s] Loss: 0.002627 
2019-03-13 22:50:32,621 - ClusterTrainer - INFO -    > [379136/517313 (73%), 11.51s] Loss: 0.002814 
2019-03-13 22:50:35,636 - ClusterTrainer - INFO -    > [387200/517313 (75%), 10.89s] Loss: 0.002693 
2019-03-13 22:50:38,636 - ClusterTrainer - INFO -    > [395264/517313 (76%), 10.25s] Loss: 0.002547 
2019-03-13 22:50:41,642 - ClusterTrainer - INFO -    > [403328/517313 (78%), 9.55s] Loss: 0.002556 
2019-03-13 22:50:44,637 - ClusterTrainer - INFO -    > [411392/517313 (79%), 8.80s] Loss: 0.002522 
2019-03-13 22:50:47,659 - ClusterTrainer - INFO -    > [419456/517313 (81%), 8.49s] Loss: 0.002408 
2019-03-13 22:50:50,669 - ClusterTrainer - INFO -    > [427520/517313 (83%), 7.50s] Loss: 0.002631 
2019-03-13 22:50:53,666 - ClusterTrainer - INFO -    > [435584/517313 (84%), 6.79s] Loss: 0.002426 
2019-03-13 22:50:56,664 - ClusterTrainer - INFO -    > [443648/517313 (86%), 6.13s] Loss: 0.002441 
2019-03-13 22:50:59,658 - ClusterTrainer - INFO -    > [451712/517313 (87%), 5.46s] Loss: 0.002526 
2019-03-13 22:51:02,655 - ClusterTrainer - INFO -    > [459776/517313 (89%), 4.78s] Loss: 0.002409 
2019-03-13 22:51:05,659 - ClusterTrainer - INFO -    > [467840/517313 (90%), 4.28s] Loss: 0.002369 
2019-03-13 22:51:08,667 - ClusterTrainer - INFO -    > [475904/517313 (92%), 3.45s] Loss: 0.002554 
2019-03-13 22:51:11,684 - ClusterTrainer - INFO -    > [483968/517313 (94%), 2.85s] Loss: 0.002658 
2019-03-13 22:51:14,700 - ClusterTrainer - INFO -    > [492032/517313 (95%), 2.11s] Loss: 0.002492 
2019-03-13 22:51:17,696 - ClusterTrainer - INFO -    > [500096/517313 (97%), 1.48s] Loss: 0.002473 
2019-03-13 22:51:20,692 - ClusterTrainer - INFO -    > [508160/517313 (98%), 0.77s] Loss: 0.002644 
2019-03-13 22:51:23,685 - ClusterTrainer - INFO -    > [516224/517313 (100%), 0.11s] Loss: 0.002436 
2019-03-13 22:51:24,098 - ClusterTrainer - INFO -    > Total loss: 0.004260
2019-03-13 22:51:24,099 - ClusterTrainer - INFO - Valid Epoch: 0
2019-03-13 22:51:24,140 - ClusterTrainer - INFO -    > [128/27436 (0%), 0.70s] Loss: 0.001476 
2019-03-13 22:51:26,673 - ClusterTrainer - INFO -    > [8192/27436 (29%), 0.51s] Loss: 0.001578 
2019-03-13 22:51:29,220 - ClusterTrainer - INFO -    > [16256/27436 (59%), 0.30s] Loss: 0.001650 
2019-03-13 22:51:31,830 - ClusterTrainer - INFO -    > [24320/27436 (88%), 0.09s] Loss: 0.000987 
2019-03-13 22:51:32,818 - ClusterTrainer - INFO -    > Total loss: 0.002016
